City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,82.36,72,88,10.74,overcast clouds
1,Iqaluit,CA,63.7506,-68.5145,10.13,92,20,0.0,few clouds
2,Rikitea,PF,-23.1203,-134.9692,77.56,72,54,4.72,broken clouds
3,Ushuaia,AR,-54.8,-68.3,46.02,81,40,9.22,scattered clouds
4,Lorengau,PG,-2.0226,147.2712,81.37,80,96,8.25,overcast clouds
5,Vilyuysk,RU,63.7553,121.6247,-6.72,100,82,3.44,broken clouds
6,Narsaq,GL,60.9167,-46.05,44.82,66,86,2.8,overcast clouds
7,Hambantota,LK,6.1241,81.1185,79.14,100,40,2.3,scattered clouds
8,Bandarbeyla,SO,9.4942,50.8122,79.52,72,5,16.31,clear sky
9,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,82.42,84,87,4.54,overcast clouds
10,Port Elizabeth,ZA,-33.918,25.5701,86.29,42,0,5.75,clear sky
11,Pandan,PH,14.0453,124.1694,79.88,85,99,11.01,overcast clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,40,12.66,scattered clouds
13,Ishigaki,JP,24.3448,124.1572,68.13,100,100,18.41,light rain
14,Lebu,CL,-37.6167,-73.65,60.22,65,67,5.14,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,44.62,87,75,3.44,light intensity shower rain
16,Panguna,PG,-6.3164,155.4848,69.01,95,100,0.58,overcast clouds
17,Carnarvon,AU,-24.8667,113.6333,73.47,88,75,21.85,moderate rain
18,Tautira,PF,-17.7333,-149.15,81.07,76,77,15.23,broken clouds
19,Kavieng,PG,-2.5744,150.7967,82.4,74,30,9.44,scattered clouds
20,Thompson,CA,55.7435,-97.8558,12.36,34,100,3.44,overcast clouds
21,Venice,US,27.0998,-82.4543,79.05,70,0,9.22,clear sky
22,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,20,9.22,few clouds
23,Hualmay,PE,-11.0964,-77.6139,74.89,73,65,10.98,broken clouds
24,Vadso,NO,70.0744,29.7487,25.68,86,100,25.32,light shower snow
25,Bluff,NZ,-46.6,168.3333,59.18,82,100,6.71,overcast clouds
26,Barrow,US,71.2906,-156.7887,-7.58,84,20,18.41,haze
27,Dikson,RU,73.5069,80.5464,-15.61,100,61,3.51,broken clouds
28,Lapua,FI,62.9693,23.0088,26.47,83,100,9.82,light snow
29,Port Hardy,CA,50.6996,-127.4199,41.0,93,40,2.3,scattered clouds
30,Hami,CN,42.8,93.45,49.68,28,53,11.92,broken clouds
31,Saint-Joseph,RE,-21.3667,55.6167,80.98,77,73,2.75,broken clouds
32,Castro,BR,-24.7911,-50.0119,77.34,58,62,4.43,broken clouds
33,Puerto Escondido,MX,15.85,-97.0667,85.64,43,88,5.48,overcast clouds
34,San Policarpo,PH,12.1791,125.5072,80.62,84,42,12.48,scattered clouds
35,Haverfordwest,GB,51.8017,-4.9691,54.99,69,95,4.7,overcast clouds
36,Mandalgovi,MN,45.7625,106.2708,25.83,57,99,15.55,overcast clouds
37,Hermanus,ZA,-34.4187,19.2345,73.8,59,97,17.72,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,-1.68,84,75,5.75,light snow
39,Booue,GA,-0.0921,11.9385,82.94,80,85,4.23,light rain
40,Banikoara,BJ,11.2985,2.4386,102.0,5,48,9.26,scattered clouds
41,Qaanaaq,GL,77.484,-69.3632,8.82,88,97,1.28,overcast clouds
42,Atambua,ID,-9.1061,124.8925,73.18,87,100,2.53,overcast clouds
43,Klaksvik,FO,62.2266,-6.589,38.32,72,100,11.68,overcast clouds
44,Bakel,SN,14.905,-12.4568,105.91,12,8,9.01,clear sky
45,Khatanga,RU,71.9667,102.5,-2.13,94,100,12.8,overcast clouds
46,Busselton,AU,-33.65,115.3333,63.21,77,7,14.43,clear sky
47,Nikolskoye,RU,59.7035,30.7861,34.88,91,65,14.63,light snow
48,Ancud,CL,-41.8697,-73.8203,55.22,90,93,15.57,light rain
49,Ahipara,NZ,-35.1667,173.1667,62.01,87,2,6.17,clear sky
50,Mafeteng,LS,-29.823,27.2374,66.88,41,2,2.59,clear sky
51,Muyezerskiy,RU,63.9333,31.65,18.54,83,100,9.06,overcast clouds
52,Bardiyah,LY,31.7561,25.0865,60.64,61,100,14.29,overcast clouds
53,Moundsville,US,39.9203,-80.7431,28.02,34,68,15.17,broken clouds
54,Gat,IL,31.61,34.7642,65.08,5,0,12.77,clear sky
55,Ribeira Grande,PT,38.5167,-28.7,63.0,77,20,10.36,few clouds
56,Saraland,US,30.8207,-88.0706,74.05,63,53,5.41,broken clouds
57,Leningradskiy,RU,69.3833,178.4167,-18.11,99,66,4.43,broken clouds
58,Srandakan,ID,-7.9386,110.2506,77.74,85,99,2.86,light rain
59,Santa Maria,BR,-29.6842,-53.8069,78.1,50,0,5.75,clear sky
60,Saint-Philippe,RE,-21.3585,55.7679,81.99,76,88,3.04,overcast clouds
61,Kodiak,US,57.79,-152.4072,38.71,100,100,13.8,moderate rain
62,Kruisfontein,ZA,-34.0033,24.7314,71.82,56,100,11.5,overcast clouds
63,Hilo,US,19.7297,-155.09,66.61,77,0,7.0,clear sky
64,Cape Town,ZA,-33.9258,18.4232,72.12,63,20,21.85,few clouds
65,Port Blair,IN,11.6667,92.75,82.44,78,20,1.14,mist
66,Pacific Grove,US,36.6177,-121.9166,54.41,91,0,5.75,clear sky
67,Camacha,PT,33.0833,-16.3333,63.82,77,40,10.36,scattered clouds
68,Kattivakkam,IN,13.2167,80.3167,86.09,87,6,13.8,clear sky
69,Olafsvik,IS,64.8945,-23.7142,34.2,88,100,16.67,snow
70,Clyde River,CA,70.4692,-68.5914,1.63,78,100,21.85,haze
71,La Rioja,ES,42.25,-2.5,51.58,39,100,8.81,overcast clouds
72,South River,US,40.4465,-74.386,33.15,38,76,8.99,broken clouds
73,Atuona,PF,-9.8,-139.0333,78.82,77,88,16.17,overcast clouds
74,Jamestown,US,42.097,-79.2353,18.01,63,75,21.85,broken clouds
75,Baglung,NP,28.2719,83.5898,63.97,32,0,6.33,clear sky
76,San Patricio,US,28.017,-97.5169,77.88,54,1,18.03,clear sky
77,Albany,US,42.6001,-73.9662,23.54,47,94,1.99,overcast clouds
78,Port Alfred,ZA,-33.5906,26.891,84.2,50,95,13.04,overcast clouds
79,Starkville,US,33.4504,-88.8184,60.78,40,0,6.91,clear sky
80,Kaitangata,NZ,-46.2817,169.8464,54.7,96,100,1.19,overcast clouds
81,Khash,IR,28.2211,61.2158,69.84,14,0,7.92,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,75.85,39,72,9.84,broken clouds
83,Kulevcha,UA,46.0303,29.9361,48.43,47,0,11.54,clear sky
84,Iquique,CL,-20.2208,-70.1431,68.04,65,3,6.67,clear sky
85,Pandan Niog,PH,6.2282,120.5631,81.86,77,68,5.26,broken clouds
86,Ordzhonikidze,KZ,52.4411,61.7408,31.53,95,100,13.09,overcast clouds
87,Taoudenni,ML,22.6783,-3.9836,104.77,8,66,13.15,broken clouds
